,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
0,21-01-0101-46,21-002,9,85,instituto normal centroamericano para seaoritas -incas-,"avenida chipilapa 1-65, zona 2",['79224268'],jorge adelino perez ucelo,iris jannette aguirre contreras,0,2,2,ABIERTA,1,5,1,JALAPA
1,21-01-0104-46,21-002,9,85,instituto normal centroamericano para varones,"calle transito rojas, 4-82, zona 2, barrio san francisco",['40645842'],jorge adelino perez ucelo,lisi karina escobar espinoza,0,2,2,ABIERTA,1,2,1,JALAPA
2,21-01-0106-46,21-004,9,85,colegio particular mixto liceo jalapa,calle transito rojas 7-60 zona 1,['79220013'],victor manuel portillo recinos,efraan de jesas salazar peralta,0,3,2,ABIERTA,1,3,1,JALAPA
3,21-01-0107-46,21-004,9,85,instituto particular mixto moderno jalapaneco,3a. calle 0-39 zona 2 barrio la esperanza,['51228253'],victor manuel portillo recinos,german de jesus ramos valle,0,3,2,TEMPORAL TITULOS,1,5,1,JALAPA
4,21-01-0108-46,21-004,9,85,instituto privado de educacion diversificada el porvenir,"4a. avenida 2-66, zona 2 barrio san francisco","['79224958', '79223033']",victor manuel portillo recinos,rosa coralia pineda gallardo,0,3,2,ABIERTA,1,5,1,JALAPA
5,21-01-0111-46,21-004,9,85,colegio particular mixto liceo nuevo milenio,"1ra. calle a zona 3, residenciales nueva jerusalen",['79222186'],victor manuel portillo recinos,nilsa magaly cordero gudiel,0,3,2,ABIERTA,1,5,1,JALAPA
6,21-01-0206-46,21-005,9,85,instituto nacional de educacion diversificada,"caserao la laguneta, aldea el durazno",['31233496'],thelma yaneth polanco perez de camey,migdalia irene santillana fuentes,0,2,0,ABIERTA,1,5,1,JALAPA
7,21-01-0233-46,21-004,9,85,colegio particular mixto por madurez oscar de leon palacios,calle transito rojas 8-54 zona 2,['56963730'],victor manuel portillo recinos,claudia marinelli martanez hernandez,0,3,2,ABIERTA,1,0,3,JALAPA
8,21-01-0256-46,21-004,9,85,colegio sagrado corazon,3ra. calle 2-47 zona 2 barrio san francisco,['79227638'],victor manuel portillo recinos,francisco augusto carrillo hernandez,0,3,2,ABIERTA,1,0,3,JALAPA
9,21-01-0269-46,21-004,9,85,colegio privado mixto de educacion basica educare,"6a. av. 0-67 zona 5, barrio san francisco",['77964422'],victor manuel portillo recinos,alvaro antonio sandoval orellana,0,3,2,ABIERTA,1,5,1,JALAPA
10,21-01-0271-46,21-004,9,85,instituto tacnico profesional miguel angel asturias,"1a. calle 6-61 zona 1, barrio la democracia",['79222110'],victor manuel portillo recinos,juan manuel cisneros martanez,0,3,2,CERRADA TEMPORALMENTE,1,0,3,JALAPA
11,21-01-0274-46,21-004,9,85,colegio particular mixto liceo jalapa,"calle transito rojas 7-79, zona 1 barrio la democracia",['79220013'],victor manuel portillo recinos,lesly priscila carrera ruaz,0,3,2,ABIERTA,1,5,1,JALAPA
12,21-01-0293-46,21-004,9,85,instituto particular mixto moderno jalapaneco,barrio la democracia,,victor manuel portillo recinos,,0,3,0,CERRADA TEMPORALMENTE,1,3,1,JALAPA
13,21-01-0297-46,21-004,9,85,colegio sagrado corazon,"3ra. calle 2-47 zona 2, barrio san francisco",['79227638'],victor manuel portillo recinos,francisco augusto carrillo hernandez,0,3,2,CERRADA TEMPORALMENTE,1,0,3,JALAPA
14,21-01-0299-46,21-004,9,85,centro de estudios de ingenieria y arquitectura rembrandt,"6ta. calle e 0-49 colonia bonilla zona 1, barrio la esperanza",['79228008'],victor manuel portillo recinos,jeimy azucena arriaza ortaz,0,3,2,ABIERTA,1,5,1,JALAPA
15,21-01-0302-46,21-004,9,85,instituto particular mixto liceo genesis,"calle transito rojas 0-36 zona 6, barrio chipilapa",['42084457'],victor manuel portillo recinos,nestor efraan sandoval campos,0,3,2,ABIERTA,1,0,3,JALAPA
16,21-01-0306-46,21-004,9,85,centro de estudios de ingenieria y arquitectura rembrandt,"6ta. calle e 0-49 colonia bonilla zon 1, barrio la esperanza",['79228008'],victor manuel portillo recinos,berta elizabeth najera jimanez,0,3,2,ABIERTA,1,0,3,JALAPA
17,21-01-0308-46,21-004,9,85,colegio particular mixto liceo nuevo milenio,"1a. calle a zona 3, residenciales nueva jerusalen, barrio el porvenir",['79222186'],victor manuel portillo recinos,nilsa magaly cordero gudiel,0,3,2,CERRADA TEMPORALMENTE,1,0,3,JALAPA
18,21-01-0315-46,21-004,9,85,centro de estudios de ingenieria y arquitectura rembrandt,"6ta. calle e 0-49 colonia bonilla zona 1, barrio la esperanza",['79228008'],victor manuel portillo recinos,jeimy azucena arriaza ortaz,0,3,2,ABIERTA,1,2,1,JALAPA
19,21-01-0319-46,21-004,9,85,colegio privado mixto de educacian basica educare,"5 avenida 1-79 zona 1, barrio la democracia",['79223749'],victor manuel portillo recinos,judith anareli menandez valdez,0,3,2,CERRADA TEMPORALMENTE,1,0,3,JALAPA
20,21-01-0325-46,21-004,9,85,instituto privado liceo interamericano,"1ra. avenida 0-45 zona 6, barrio chipilapa",['41963272'],victor manuel portillo recinos,josa baudilio castaaeda talles,0,3,2,ABIERTA,1,0,3,JALAPA
21,21-01-0329-46,21-004,9,85,colegio particular mixto liceo jalapa,calle transito rojas 7-79 zona 1 barrio la democracia,['79220013'],victor manuel portillo recinos,lesly priscila carrera ruaz,0,3,2,ABIERTA,1,2,1,JALAPA
